                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1346,                 1.0357,                 1.0297,                0.85856,                0.68569,                0.80807,                0.59336,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     25,                 1.1625,                 1.0942,                 1.0175,                0.86944,                0.69187,                0.80295,                 0.6018,                    nan,                    nan,                    nan,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.0891,                0.97437,                0.99604,                0.87931,                0.71188,                0.83008,                0.63145,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     27,                 1.1134,                0.96874,                0.99287,                0.94016,                0.67835,                0.82683,                0.62067,                    nan,                    nan,                    nan,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0785,                0.95884,                0.98601,                0.84776,                0.74912,                0.81259,                0.58369,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     29,                 1.0663,                0.96037,                0.99413,                0.86395,                 0.7272,                0.82788,                0.62095,                    nan,                    nan,                    nan,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.0566,                0.91575,                0.98959,                 0.8813,                0.72425,                0.83009,                0.62419,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     31,                 1.0705,                0.95595,                 1.0106,                 0.8514,                0.74215,                0.84141,                0.64409,                    nan,                    nan,                    nan,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.0407,                0.94723,                0.98923,                0.92017,                 0.7094,                0.81775,                0.60247,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     33,                 1.0317,                0.90242,                0.99415,                0.84575,                0.73862,                0.82505,                0.61723,                    nan,                    nan,                    nan,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.0124,                0.88217,                0.98224,                0.82127,                0.71973,                0.82453,                0.61686,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     35,                 1.0201,                0.92522,                0.96896,                0.86974,                0.73398,                0.82274,                0.63314,                    nan,                    nan,                    nan,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0028,                0.91241,                0.96567,                0.87452,                0.77665,                0.84682,                0.64447,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     37,                 1.0007,                0.85384,                0.96421,                0.88748,                0.67788,                 0.8126,                0.61441,                    nan,                    nan,                    nan,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0372,                0.88467,                0.98197,                0.88846,                0.72291,                 0.8411,                 0.6352,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     39,                 1.0282,                0.87657,                0.97285,                0.88119,                0.78047,                0.86061,                0.65178,                    nan,                    nan,                    nan,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0034,                0.86948,                0.97657,                0.90084,                0.77063,                0.86497,                0.66682,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     41,                  1.009,                0.84498,                0.97129,                0.88295,                0.77696,                0.85929,                0.65998,                    nan,                    nan,                    nan,              0.0080695,              0.0080695,              0.0080695
